model,auc_mean,auc_sd,acc_mean,acc_sd,n_folds
Title only,0.6510123576057641,0.09990538820490048,0.6529304029304028,0.07671019732385886,15
Description only,0.6852916314454777,0.12833342394725264,0.6223443223443222,0.11276109654151052,15
Title + description,0.6890331280441171,0.12802829733072027,0.6324175824175824,0.126028468648407,15
