label,count,share_of_sample,high_view_rate,non_label_high_view_rate
Official video,23,0.16911764705882354,0.6521739130434783,0.4690265486725664
Lyrics / lyric video,13,0.09558823529411764,0.6923076923076923,0.4796747967479675
Feat / collaboration,11,0.08088235294117647,0.5454545454545454,0.496
